accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,fold,mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,n_pseudo,pseudo_cancer,pseudo_normal,mapped_clusters
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,3,0.05,564,369,195,6
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,3,0.1,564,369,195,6
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,3,0.2,564,369,195,6
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,5,0.01,404,209,195,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,5,0.02,404,209,195,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,5,0.05,404,209,195,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,5,0.1,404,209,195,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,5,0.2,404,209,195,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,2,0.01,679,583,96,8
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,2,0.02,679,583,96,8
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,2,0.05,679,583,96,8
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,2,0.1,679,583,96,8
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,2,0.2,679,583,96,8
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,3,0.01,465,369,96,5
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,3,0.02,465,369,96,5
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,3,0.05,465,369,96,5
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.95,3,0.1,465,369,96,5
